country_code,browser_name,browser_version,os_name,os_version,traffic
XX,"Chrome Mobile",51.0.2704.81,Android,4.1.2,12659
XX,"Samsung Browser",2.1,Android,5.0.1,44367
XX,"Samsung Browser",3.5,Android,5.1.1,23400
XX,"Chrome Mobile",34.0.1847.114,Android,4.4.2,2837
XX,Safari,9.0,iOS,9_2_1,156962
XX,"Chrome Mobile",45.0.2454.89,iOS,9_3_2,370
XX,"Chrome Mobile",39.0.2171.93,Android,4.4.2,808
XX,Safari,6.0,iOS,6_1_3,9863
XX,"Chrome Mobile",45.0.2454.94,Android,5.1,512
XX,Safari,9.0,iOS,9_1,75339
XX,Safari,7.0,iOS,7_0_3,3891
XX,Firefox,48.0,Android,5.1.1,1983
XX,"Opera Mobile",12.10,Android,4.2.2,33
XX,"Android Browser",,Android,,636
XX,Safari,9.0,iOS,9_3_5,39668
XX,"Chrome Mobile",38.0.2125.102,Android,5.0.1,4052
XX,"Chrome Mobile",46.0.2490.76,Android,6.0,3944
XX,"Chrome Mobile",49.0.2623.105,Android,6.0,2434
XX,"Android Browser",4.0,Android,4.4.2,58423
XX,"Android Browser",4.0,Android,4.0.3,3898
XX,"Internet Explorer Mobile",10.0,"Windows Phone",8.0,11394
XX,"Android Browser",4.0,Android,4.3,26331
XX,"Chrome Mobile",46.0.2490.76,Android,5.1,3882
XX,"UC Browser",9.4.1.377,"Nokia OS","Series 40",4
XX,"Chrome Mobile",47.0.2526.107,iOS,7_1_2,895
XX,Firefox,47.0,Android,4.4.2,2429
XX,Firefox,5.0,iOS,9_3_2,378
XX,"Chrome Mobile",52.0.2743.84,iOS,9_3_4,32211
XX,Safari,9.0,iOS,9_0_2,17225
XX,"Chrome Mobile",45.0.2454.94,Android,4.1.1,16
XX,Safari,,iOS,9_3_2,356840
XX,Safari,,iOS,9_3_5,7557
XX,"Nokia Browser",1.0.1.54,Android,4.1.2,129
XX,Firefox,47.0,Android,4.1.2,378
XX,Safari,6.0,iOS,6_0,4025
XX,"Chrome Mobile",39.0.0.0,Android,4.2.2,29
XX,Safari,,iOS,4_3,81
XX,"Chrome Mobile",50.0.2661.86,Android,5.0.2,1109
XX,Safari,5.0.2,iOS,4_2_1,2071
XX,"Chrome Mobile",48.0.2564.116,Android,4.3,655
XX,"UC Browser",10.10.0.796,Android,5.1.1,251
XX,Yandex.Browser,16.7.0.2531.00,Android,4.4.4,24
XX,"UC Browser",9.8.0.477,Android,4.2.2,2
XX,Safari,10.0,iOS,10_0,35586
XX,Safari,,iOS,8_2,3469
XX,"Internet Explorer Mobile",11.0,"Windows Phone",8,9
XX,"Chrome Mobile",48.0.2564.106,Android,5.1.1,1445
XX,"Chrome Mobile",47.0.2526.70,iOS,9_3_4,30
XX,"UC Browser",10.10.8.820,Android,4.2.1,37
XX,"Chrome Mobile",51.0.2704.81,Android,4.4.2,115077
XX,"Chrome Mobile",48.0.2564.104,iOS,9_3_3,106
XX,"Chrome Mobile",49.0.2623.91,Android,4.4.4,1162
XX,Safari,5.1,iOS,5_1_1,7565
XX,"Chrome Mobile",49.0.2623.105,Android,5.0,2546
XX,"Chrome Mobile",44.0.2403.128,Android,4.2.2,12
XX,"Internet Explorer Mobile",9.0,"Windows Phone",7.5,2859
XX,"Chrome Mobile",41.0.2272.96,Android,4.2.2,289
XX,Safari,8.0,iOS,8_3,73937
XX,"Chrome Mobile",51.0.2704.104,iOS,9_3_1,2689
XX,"Chrome Mobile",39.0.2171.25,Android,4.4.4,6
XX,"Chrome Mobile",42.0.2311.109,Android,4.4.4,47
XX,Firefox,47.0,Android,5.0.2,1379
XX,"Chrome Mobile",33.0.0.0,Android,4.4.2,731
XX,"Opera Mobile",30.0.1856.93524,Android,4.2.2,14
XX,"Chrome Mobile",34.0.1847.118,Android,5.0.2,8777
XX,"Chrome Mobile",43.0.2357.93,Android,5.1,5659
XX,"Chrome Mobile",52.0.2743.98,Android,6.0,59424
XX,"Chrome Mobile",43.0.2357.61,iOS,8_1_2,41
XX,Safari,4.0.5,iOS,3_3,49
XX,"Nokia S60 Browser",7.3.1.25,Symbian,9.4,29
XX,"Chrome Mobile",39.0.2171.93,Android,5.1,2300
XX,"UC Browser",10.7.5.785,Android,4.1.2,98
XX,"Chrome Mobile",52.0.2743.98,Android,4.1.2,4460
XX,"Amazon Silk",51.1.116,Android,4.4.3,162
XX,"Chrome Mobile",52.0.2743.98,Android,4.4.2,45697
XX,"Opera Mobile",8.65,Symbian,8.1a,49
XX,"Chrome Mobile",43.0.2357.61,iOS,8_1_1,6
XX,"Android Browser",4.0,Android,4.2.2,51959
XX,"Chrome Mobile",42.0.2311.111,Android,4.4.3,31
XX,"Chrome Mobile",52.0.2743.84,iOS,9_3_3,24907
XX,"Chrome Mobile",48.0.2564.116,Android,4.2.2,520
XX,"UC Browser",9.5.0.449,"Nokia OS",,481
XX,Safari,9.0,iOS,9_3,50255
XX,"UC Browser",10.7.6.805,Android,4.2.2,42
XX,"Chrome Mobile",51.0.2704.81,Android,4.1.1,958
XX,"Chrome Mobile",47.0.2526.107,iOS,8_4_1,748
XX,"Chrome Mobile",40.0.2214.109,Android,4.4.4,5538
XX,"Chrome Mobile",43.0.2357.121,Android,5.1,3933
XX,"Chrome Mobile",52.0.2743.84,iOS,9_2,642
XX,Firefox,33.0,Android,,92
XX,"Chrome Mobile",52.0.2743.98,Android,5.0.2,31351
XX,"Chrome Mobile",37.0.2062.117,Android,4.4.4,941
XX,"Chrome Mobile",52.0.2743.91,Android,4.3,240
XX,"Chrome Mobile",38.0.2125.114,Android,4.3,41
XX,"Chrome Mobile",43.0.2357.121,Android,5.0,874
XX,"Chrome Mobile",43.0.2357.93,Android,5.0.2,2378
XX,Safari,5.0.2,iOS,4_3_3,1056
XX,Safari,7.0,iOS,7_0_4,15295
XX,Yandex.Browser,16.7.1.21040.10,iOS,9_3_3,31
XX,"Nokia S40 Browser",2.0.2.68.13.8,"Nokia OS",,1
XX,"Chrome Mobile",33.0.0.0,Android,4.2.2,164
XX,"Chrome Mobile",48.0.2564.95,Android,4.4.3,48
XX,"Chrome Mobile",39.0.2171.50,iOS,8_3,18
XX,"Chrome Mobile",48.0.2564.104,iOS,9_3_2,538
XX,Firefox,45.0,Android,5.0,66
XX,"Chrome Mobile",50.0.2661.77,iOS,9_3_5,3
XX,Safari,,iOS,9_3_1,24484
XX,"Chrome Mobile",51.0.2704.81,Android,5.0.1,65083
XX,"UC Browser",10.5.2.582,Android,5.1,69
XX,"Chrome Mobile",47.0.2526.83,Android,4.4.4,4885
XX,"Chrome Mobile",48.0.2564.95,Android,4.4.2,3101
XX,"Opera Mobile",33.0.2002.97617,Android,5.1.1,2
XX,"Chrome Mobile",33.0.0.0,Android,5.0.2,6618
XX,"UC Browser",10.10.8.820,Android,5.0.2,326
XX,"UC Browser",10.7.5.785,Android,5.0.2,29
XX,"Opera Mobile",4.0,Android,3.2,1
XX,"Chrome Mobile",46.0.2490.76,Android,4.4.2,1590
XX,"Opera Mini",4.2.13918/24.838,,,2
XX,Safari,6.0,iOS,6_1_4,1696
XX,"Chrome Mobile",50.0.2661.89,Android,5.1,10510
XX,"UC Browser",10.7.6.805,Android,6.0,7
XX,"Chrome Mobile",48.0.2564.95,Android,5.0,911
XX,"Chrome Mobile",52.0.2743.98,Android,5.1.1,91096
XX,"Chrome Mobile",40.0.2214.69,iOS,8_4,6
XX,Safari,9.0,iOS,9_3_2,2002212
XX,"Chrome Mobile",46.0.2490.76,Android,5.0.1,829
XX,"Chrome Mobile",48.0.2564.87,iOS,9_3_4,34
XX,"Chrome Mobile",51.0.2704.81,Android,5.1,99884
XX,"MIUI Browser",2.1.1,Android,6.0.1,263
XX,"Chrome Mobile",47.0.2526.107,iOS,9_3_1,82
XX,"Chrome Mobile",37.0.2062.60,iOS,6_1,12
XX,"Chrome Mobile",50.0.2661.89,Android,4.3,2181
XX,"Chrome Mobile",53.0.2782.9,Android,6.0.1,118
XX,"Opera Mobile",34.0.2044.98679,Android,4.4.4,47
XX,"Chrome Mobile",47.0.2526.83,Android,5.1,2925
XX,"Chrome Mobile",47.0.2526.70,iOS,9_3_1,30
XX,"Android Browser",4.0,Android,2.3.3,2512
XX,"Android Browser",4.0,Android,4.2.1,6433
XX,"UC Browser",9.1.0.297,Android,4.2.2,131
XX,"UC Browser",10.10.0.796,Android,6.0.1,222
XX,"Samsung Browser",3.0,Android,5.0.2,3703
XX,Safari,8.0,iOS,8_0_2,8437
XX,Firefox,4.0,iOS,9_3_3,140
XX,"Chrome Mobile",38.0.2125.102,Android,5.0.2,2634
XX,"Chrome Mobile",40.0.2214.89,Android,4.2.2,30
XX,Firefox,47.0,Android,4.2.2,518
XX,Firefox,47.0,Android,6.0.1,7727
XX,Yandex.Browser,15.12.1.6403.00,Android,4.2.2,4
XX,Safari,,iOS,7_1_1,2421
XX,"Opera Mobile",36.2.2126.102826,Android,5.0.2,35
XX,"Opera Mini",4.2.22714/24.854,,,1
XX,"Android Browser",,Android,4.3,677
XX,"Chrome Mobile",47.0.2526.107,iOS,8_1_1,173
XX,"Chrome Mobile",43.0.2357.93,Android,5.0,1542
XX,"Chrome Mobile",28.0.1500.94,Android,4.4.4,11681
XX,Safari,9.0,iOS,9_2,81217
XX,"Android Browser",,Android,2.3.6,179
XX,"Android Browser",4.0,Android,4.2,213
XX,"Chrome Mobile",49.0.2623.91,Android,5.1,1096
XX,"Opera Mobile",4.0,Android,2.3.6,4
XX,"UC Browser",9.9.2.467,Android,4.4.2,624
XX,"Chrome Mobile",41.0.2272.56,iOS,7_0_2,1
XX,Firefox,47.0,Android,4.4.4,1044
XX,"Opera Mini",4.2.13228/24.783,,,4
XX,"Android Browser",4.0,Android,4.4.4,19824
XX,"Chrome Mobile",49.0.2623.91,Android,6.0.1,10484
XX,"MIUI Browser",8.1.6,Android,5.0.2,65
XX,"Android Browser",,Android,4.4.4,1749
XX,"Chrome Mobile",38.0.0.0,Android,5.0,63
XX,"UC Browser",10.10.0.796,Android,4.2.2,86
XX,"BlackBerry Browser",6.0.0.600,RIM,6.0.0.600,56
XX,"Chrome Mobile",50.0.2661.89,Android,4.1.2,2802
XX,"Chrome Mobile",41.0.2272.96,Android,4.4.4,212
XX,"Amazon Silk",47.2.3,Android,5.1.1,9
XX,"UC Browser",10.7.5.785,Android,4.2.2,85
XX,"Chrome Mobile",49.0.2623.91,Android,4.2.2,494
XX,"Chrome Mobile",52.0.2743.98,Android,4.2.2,7860
XX,"Opera Mini",4.2.22053/24.871,,,1
XX,"Chrome Mobile",52.0.2743.98,Android,7.0,845
XX,"Chrome Mobile",33.0.0.0,Android,6.0.1,1812
XX,"Android Browser",4.0,Android,2.2.1,1413
XX,Firefox,48.0,Android,5.1,914
XX,"Chrome Mobile",48.0.2564.95,Android,6.0,668
XX,Edge,14.14393,"Windows Phone",10.0,1616
XX,"Chrome Mobile",39.0.2171.50,iOS,8_0,13
XX,"Chrome Mobile",49.0.2623.91,Android,5.0.1,468
XX,"WAP Browser",,,,1155
XX,"Chrome Mobile",51.0.2704.81,Android,5.0.2,81963
XX,"Android Browser",4.0,Android,4.1.2,45015
XX,"Android Browser",4.0,Android,2.3.6,15883
XX,Safari,8.0,iOS,8_4_1,45554
XX,"Opera Mobile",37.9.2192.106188,Android,6.0.1,21
XX,"Chrome Mobile",33.0.0.0,Android,5.1.1,599
XX,"Chrome Mobile",44.0.2403.67,iOS,9_3_3,25
XX,"UC Browser",3.4.3.532,Android,4.2.2,91
XX,"Chrome Mobile",50.0.2661.102,Android,4.2.2,181
XX,"Chrome Mobile",47.0.2526.70,iOS,8_4_1,33
XX,Safari,9.0,iOS,9_0,6401
XX,Safari,,iOS,8_1_2,4675
XX,"Chrome Mobile",34.0.1847.118,Android,4.4.2,5972
XX,"Nokia Browser",,"Asha platform",,6
XX,"Chrome Mobile",44.0.2403.133,Android,5.0.2,154
XX,Safari,,iOS,6_0,121
XX,"Chrome Mobile",50.0.2661.89,Android,4.4.4,10471
XX,"Chrome Mobile",40.0.2214.117,Android,5.1,64
XX,Firefox,45.0,Android,6.0,75
XX,"Chrome Mobile",51.0.2704.104,iOS,9_0,76
XX,"Chrome Mobile",40.0.2214.109,Android,4.4.2,5217
XX,"Chrome Mobile",37.0.0.0,Android,5.0,6875
XX,"Chrome Mobile",50.0.2661.77,iOS,9_3_4,82
XX,Safari,8.0,iOS,8_1,25734
XX,Safari,4.0.4,iOS,3_2,549
XX,"Chrome Mobile",52.0.2743.98,Android,5.1,39351
XX,"Chrome Mobile",52.0.2743.91,Android,6.0.1,12926
XX,"Chrome Mobile",39.0.0.0,Android,5.1.1,4912
XX,"Samsung Browser",2.1,Android,5.1.1,19274
XX,"Chrome Mobile",37.0.0.0,Android,5.0.2,2218
XX,"Chrome Mobile",46.0.2490.76,Android,4.1.2,356
XX,"Chrome Mobile",53.0.2785.80,Android,5.0,6
XX,"Chrome Mobile",50.0.2661.89,Android,6.0,9921
XX,"Chrome Mobile",35.0.1916.141,Android,6.0.1,27
XX,Firefox,44.0,Android,4.2.2,49
XX,"Chrome Mobile",26.0.1410.53,iOS,5_1_1,1
XX,"Chrome Mobile",52.0.2743.84,iOS,9_0_2,226
XX,"Chrome Mobile",48.0.2564.95,Android,5.0.1,528
XX,Safari,7.0,iOS,7_0_2,3003
XX,"UC Browser",10.2.0.535,Android,4.2.2,13
XX,"Chrome Mobile",46.0.2490.76,Android,4.4.4,662
XX,Firefox,46.0,Android,5.1.1,242
XX,"Chrome Mobile",35.0.1916.141,Android,4.3,360
XX,"Chrome Mobile",33.0.1750.166,Android,4.4.2,83
XX,NetFront,3.5,"Samsung proprietary",,114
XX,"Chrome Mobile",18.0.1025.308,Android,4.2.2,4777
XX,Safari,6.0,iOS,9_2_1,15
XX,"UC Browser",4.2.1.541,"Windows Phone",8.1,959
XX,"Amazon Silk",52.1.79,Android,5.1.1,728
XX,Safari,7.0,iOS,7_1_2,61535
XX,"Chrome Mobile",28.0.1500.94,Android,4.4.2,57053
XX,"UC Browser",10.9.0.731,Android,5.1,85
XX,"Chrome Mobile",18.0.1025.166,Android,4.2.2,87
XX,Safari,3.0,iOS,2,7
XX,"Chrome Mobile",46.0.2490.85,iOS,9_3_1,13
XX,Firefox,2.1,iOS,9_3_3,4
XX,Safari,9.0,iOS,9_3_4,707524
XX,"Opera Mobile",10.5,Android,2.2,166
XX,"Chrome Mobile",49.0.2623.91,Android,4.4.2,2007
XX,"Chrome Mobile",18.0.1025.166,Android,4.1.1,1990
XX,Firefox,48.0,Android,5.0,849
XX,"Chrome Mobile",45.0.2420.0,Android,6.0,2
XX,"Chrome Mobile",39.0.0.0,Android,5.1,8809
XX,Safari,,iOS,5_1_1,597
XX,NetFront,4.2,,,15
XX,"Opera Mini",7.5.35188/37.8717,Android,,22
XX,"Chrome Mobile",35.0.1916.41,iOS,7_1_1,3
XX,"Chrome Mobile",50.0.2661.77,iOS,9_3_2,495
XX,"UC Browser",11.0.0.827,iOS,9_3_3,12
XX,"Opera Mobile",37.0.2192.105088,Android,5.1.1,566
XX,"Amazon Silk",50.2.1,Android,4.4.3,4284
XX,"Samsung Browser",3.4,Android,5.1.1,2488
XX,"Opera Mini",7.1.32256/28.3492,RIM,,3
XX,"Chrome Mobile",30.0.0.0,Android,4.4.2,87860
XX,"Chrome Mobile",18.0.1025.133,Android,23,3
XX,"Samsung Browser",3.2,Android,5.0.2,6433
XX,"Chrome Mobile",52.0.2743.84,iOS,9_0_1,40
XX,"Chrome Mobile",36.0.1985.135,Android,4.1.1,9
XX,Firefox,47.0,Android,5.1.1,2975
XX,"Chrome Mobile",49.0.2623.105,Android,4.2.2,1454
XX,"Chrome Mobile",47.0.2526.83,Android,6.0.1,1287
XX,"Chrome Mobile",47.0.2526.99,Android,5.1.1,31
XX,"Chrome Mobile",45.0.2454.84,Android,4.2.2,117
XX,Firefox,41.0,Android,5.1.1,65
XX,"UC Browser",9.0.2.389,Android,2.3.6,1
XX,"Chrome Mobile",45.0.2454.89,iOS,9_3_4,59
XX,Safari,,iOS,9_3_4,139659
XX,"Opera Mobile",37.0.2192.105088,Android,4.4.2,833
XX,Safari,8.0,iOS,8_0,9022
XX,"Chrome Mobile",45.0.2454.94,Android,4.4.4,338
XX,"UC Browser",11.0.0.828,Android,5.0.1,6
XX,Safari,5.1,iOS,5_0_1,837
XX,"Chrome Mobile",52.0.2743.98,Android,4.4.4,29236
XX,"Samsung Browser",4.0,Android,6.0.1,732190
XX,Safari,5.1,iOS,5_0,3905
XX,"Chrome Mobile",48.0.2564.104,iOS,9_0_2,9
XX,"Samsung Browser",4.0,Android,5.1.1,83575
XX,"Android Browser",4.0,Android,4.1.1,6258
XX,"Chrome Mobile",33.0.0.0,Android,4.3,111
XX,Firefox,47.0,Android,4.3,387
XX,"Android Browser",,Android,4.0.4,163
XX,"UC Browser",3.2.1.441,Android,4.4.2,95
XX,"Chrome Mobile",50.0.2661.89,Android,6.0.1,30665
XX,"Chrome Mobile",33.0.0.0,Android,4.4.4,36402
XX,"Opera Mobile",37.5.2192.105386,Android,5.1,3
XX,"Chrome Mobile",47.0.2526.100,Android,5.0.2,457
XX,"Chrome Mobile",41.0.2272.58,iOS,8_3,48
XX,"Chrome Mobile",42.0.2311.108,Android,5.1.1,3
XX,"Chrome Mobile",26.0.1410.58,Android,4.0.4,1174
XX,"Nokia S60 Browser",7.1.19424,Symbian,9.3,12
XX,"Android Browser",,Android,5.1.1,5766
XX,"Chrome Mobile",52.0.2743.91,Android,5.0,1756
XX,"Samsung Browser",2.0,Android,4.4.4,6125
XX,"UC Browser",10.7.0.733,Android,4.4.4,13
XX,"Android Browser",4.0,Android,4.0.4,9636
XX,"Chrome Mobile",45.0.2454.84,Android,4.1.2,89
XX,"Chrome Mobile",54.0.2794.0,Android,6.0.1,23
XX,"Chrome Mobile",46.0.2490.73,iOS,7_1_2,34
XX,Safari,,iOS,9_3_3,117200
XX,"Chrome Mobile",50.0.2661.89,Android,4.4,151
XX,"Chrome Mobile",42.0.2311.108,Android,4.3,8
XX,"UC Browser",10.7.8.673,Android,4.2.2,1
XX,"Samsung Browser",2.1,Android,5.0,36214
XX,"UC Browser",9.0.2.299,Android,4.2.2,5
XX,"Chrome Mobile",52.0.2743.84,iOS,10_0,1077
XX,Firefox,37.0,Android,,136
XX,Safari,5.0.2,iOS,4_3_5,958
XX,Firefox,4.0b13pre,Maemo,,1
XX,"Chrome Mobile",51.0.2704.81,Android,6.0,126029
XX,"Opera Mobile",37.0.2192.105088,Android,5.1,410
XX,"Opera Mini",4.2.18149/24.838,,,1
XX,"Chrome Mobile",53.0.2785.35,Android,4.1.2,1
XX,"Nokia S40 Browser",,"Nokia OS",,931
XX,"Chrome Mobile",45.0.2454.94,Android,4.1.2,162
XX,"Chrome Mobile",33.0.1750.170,Android,4.1.2,10
XX,"UC Browser",10.4.1.565,Android,4.2.2,26
XX,"Kindle Browser",,Linux,2.6.26,48
XX,"Chrome Mobile",44.0.2403.133,Android,4.2.2,252
XX,"Chrome Mobile",44.0.2403.90,Android,5.1.1,67
XX,"Chrome Mobile",53.0.2782.9,Android,5.0,32
XX,"Samsung Browser",4.0,Android,5.0,60065
XX,"Chrome Mobile",51.0.2704.64,iOS,9_3_2,2478
XX,"Android Browser",,Android,4.2.1,75
XX,"Opera Mobile",8.65,"Windows Mobile",6.1,21
XX,Firefox,46.0,Android,4.3,37
XX,"Chrome Mobile",44.0.2403.67,iOS,8_1_1,7
XX,"Opera Mobile",18.0.1290.66961,Android,4.4.4,1
XX,Safari,,iOS,9_2_1,23063
XX,"Samsung Browser",3.3,Android,5.0.2,36658
XX,"Opera Mini",4.5.40312/37.7059,"Nokia OS",,2
XX,"Chrome Mobile",37.0.0.0,Android,5.0.1,6324
XX,"Android Browser",4.0,Android,5.1,354
XX,Firefox,49.0,Android,4.2.2,7
XX,"Chrome Mobile",44.0.2403.133,Android,4.4.2,1090
XX,"BlackBerry Browser",7.1.0.569,RIM,7.1.0.569,25
XX,"Chrome Mobile",35.0.1916.138,Android,4.3,6
XX,"Chrome Mobile",46.0.2490.73,iOS,7_1,15
XX,"Chrome Mobile",50.0.2661.89,Android,4.2.2,3707
XX,"Android Browser",5.0,Android,2.3.3,48
XX,"Chrome Mobile",37.0.2062.117,Android,4.0.3,2
XX,"Chrome Mobile",47.0.2526.107,iOS,7_1_1,164
XX,"Chrome Mobile",51.0.2704.104,iOS,9_0_1,55
XX,"Chrome Mobile",47.0.2526.107,iOS,9_3_4,130
XX,"Android Browser",4.0,Android,4.4.0,2
XX,"Opera Mobile",35.0.2070.100283,Android,4.1.2,5
XX,Safari,,iOS,6_1,96
XX,"Chrome Mobile",44.0.2403.90,Android,5.1,45
XX,"Chrome Mobile",35.0.1916.141,Android,4.4.2,3438
XX,"Chrome Mobile",49.0.2623.108,Android,5.0,1256
XX,"Chrome Mobile",54.0.2840.0,Android,6.0.1,45
XX,"Opera Mini",5.17443/24.854,,,3
XX,Safari,,iOS,9_2,10935
XX,"Chrome Mobile",50.0.2661.89,Android,4.2.1,245
XX,Safari,5.0.2,iOS,4_3_2,993
XX,"Internet Explorer Mobile",11.0,"Windows Phone",7.0,785
XX,Firefox,34.0,Android,,860
XX,"Chrome Mobile",44.0.2403.133,Android,4.3,131
XX,"Chrome Mobile",50.0.2661.86,Android,5.0,1318
XX,Safari,5.0.2,iOS,5_0,106
XX,"Android Browser",4.0,Android,2.3.4,2626
XX,Safari,6.0,iOS,6_1_6,2766
XX,"Chrome Mobile",50.0.2661.89,Android,4.4.2,16816
XX,"UC Browser",9.9.0.543,Android,4.4.3,1
XX,"Chrome Mobile",47.0.2526.107,iOS,8_2,333
XX,"Android Browser",,Android,4.0,80
XX,"Samsung Browser",3.3,Android,5.1.1,127265
XX,"Chrome Mobile",42.0.2311.154,Android,6.0.1,585
XX,"Chrome Mobile",52.0.2743.32,Android,5.0,5
XX,"Chrome Mobile",52.0.2743.98,Android,5.0.1,25429
XX,"UC Browser",9.3.0.440,Android,4.4.2,14
XX,"Opera Mobile",37.0.2192.105088,Android,5.0.1,145
XX,"Chrome Mobile",39.0.2171.59,Android,4.2.2,49
XX,"UC Browser",3.4.3.532,Android,5.1,43
XX,"Chrome Mobile",46.0.2490.76,Android,5.1.1,13202
XX,"UC Browser",4.2.1.541,Android,4.0.4,36
XX,"BlackBerry Browser",6.0.0.666,RIM,6.0.0.666,39
XX,"Chrome Mobile",51.0.2704.28,Android,4.1.2,2
XX,Safari,4.0.5,iOS,4_0,3219
XX,Firefox,45.0,Android,5.0.2,65
XX,Yandex.Browser,16.4.0.9404.01,Android,5.0.2,3
XX,"Chrome Mobile",42.0.2311.111,Android,4.0.3,374
XX,Yandex.Browser,15.7.2357.2697.10,iOS,9_3_4,1
XX,"Chrome Mobile",52.0.2743.98,Android,4.1.1,328
XX,"Chrome Mobile",39.0.2171.93,Android,5.0.1,638
XX,"Chrome Mobile",44.0.2403.67,iOS,8_4_1,35
XX,,,Linux,,41
XX,"MIUI Browser",1.0,Android,4.2.2,47
XX,Firefox,5.0,iOS,9_3_3,782
XX,OneBrowser,4.2.0,Android,4.2.2,9
XX,Yandex.Browser,16.7.0.2777.00,Android,4.2.2,28
XX,"UC Browser",10.8.0.835,iOS,9_3_4,31
XX,Safari,9.0,iOS,9_1_2,3
XX,"Chrome Mobile",52.0.2743.91,Android,4.1.2,208
XX,Safari,8.0,iOS,8_1_3,24343
XX,Safari,7.0,iOS,7_1,9318
XX,"Chrome Mobile",38.0.1025.166,Android,4.2.1,1087
XX,"Opera Mini",26.0.1656/35.7382,Android,4.1.1,1
XX,"Chrome Mobile",44.0.2403.67,iOS,9_3_2,157
XX,Safari,,iOS,9_1,12157
XX,UP.Browser,3.01,,,40
XX,Firefox,48.0,Android,4.4,4
XX,"Chrome Mobile",42.0.2311.138,Android,5.0,159
XX,"Opera Mobile",36.2.2126.102826,Android,5.1.1,58
XX,"Chrome Mobile",46.0.2490.73,iOS,7_1_1,12
XX,Safari,5.0.2,iOS,4_3,544
XX,"Chrome Mobile",51.0.2704.81,Android,5.1.1,249959
XX,"Chrome Mobile",51.0.2704.81,Android,4.2.2,20722
XX,"Chrome Mobile",47.0.2526.76,Android,4.4.2,199
XX,"UC Browser",9.2.0.311,"Nokia OS",,7
XX,"Chrome Mobile",50.0.2661.86,Android,5.1.1,3795
XX,Safari,,iOS,6_1_3,978
XX,"Android Browser",,Android,4.1.2,753
XX,Yandex.Browser,14.8.1985.12002.00,Android,4.4.2,124
XX,"Chrome Mobile",51.0.2695.0,Android,5.1.1,2
XX,"Chrome Mobile",30.0.0.0,Android,4.0.0,3615
XX,"Chrome Mobile",18.0.1025.166,Android,4.0.4,655
XX,Firefox,41.0,Android,5.0.2,40
XX,"Opera Mobile",37.0.2192.105088,Android,6.0.1,1014
XX,"Chrome Mobile",45.0.2454.95,Android,5.1.1,1180
XX,"Chrome Mobile",44.0.2403.133,Android,4.2.1,14
XX,"Chrome Mobile",52.0.2743.98,Android,4.3,5506
XX,Safari,,iOS,6_0_2,27
XX,"Chrome Mobile",39.0.0.0,Android,5.0,131
XX,"Android Browser",,Android,2.3.7,13
XX,"Opera Mini",7.1.23511/28.2555,,,165
XX,"Chrome Mobile",43.0.2357.93,Android,5.1.1,21327
XX,"Chrome Mobile",52.0.2743.91,Android,4.2.2,342
XX,"Chrome Mobile",48.0.2564.95,Android,4.1.1,56
